year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key
2026,ACCX201L,会計学,菅野　浩勢,社学,秋学期,01:火３時限 02:火４時限,教室未定,会計とは、特定の経済主体の経済活動を、主として貨幣単位によって測定・記録......,1800000001012026180000000118
2026,MANX311L,経営組織論,小阪　玄次郎,社学,秋学期,01:月２時限 02:火３時限,教室未定,組織、とりわけ企業組織は、現代社会における基本的な構成要素の一つです。経営......,1800000094012026180000009418
2026,ACCX101L,簿記 B,菅野　浩勢,社学,秋学期,01:無フルOD 02:無フルOD,教室未定,※ 本授業は、全回をオンライン（オンデマンド配信）で実施します。 株式会社......,1800000104022026180000010418
2026,CMMM101L,マーケティング入門 Ｂ,野口　智雄,社学,秋学期,無フルOD,教室未定,本年度の講義は、時空間を問わず反復視聴ができ、教育効果も高いオンデマンド......,1800000194022026180000019418
2026,LAWG151L,医事法,横野　恵,社学,秋学期,無フルOD,教室未定,【2026年3月23日更新】 本科目はオンデマンド形式で実施します。教室での対面の......,1800000195012026180000019518
2026,CMMC301L GSSC301L,企業財務論,葛山　康典,社学,秋学期,01:火３時限 02:水３時限,教室未定,企業は銀行借入の他に、株式や社債を発行して資金の調達を行っています。資本......,1800000212012026180000021218
2026,PHLV101L,哲学総論,千葉　清史,社学,秋学期,火５時限,教室未定,哲学とは何か、ということを体得するためにもっともよいのは、哲学と呼ばれる......,1800000240012026180000024018
2026,MANX101L,社会科学のための基礎コンピュータ Ｂ,開沼　泰隆,社学,秋学期,01:月１時限 02:月２時限,教室未定,社会科学に統計学を応用し，数値データを分析して定量的・客観的な分析を行うこ......,1800000254022026180000025418
2026,MANX101L,社会科学のための基礎コンピュータ Ｃ,根岸　亮平,社学,秋学期,01:水１時限 02:水２時限,教室未定,この授業では、「社会科学におけるデータ分析」および研究テーマの決定から論文......,1800000254032026180000025418
2026,POLX271L ARSH281L,現代政治制度論（イタリア）,池谷　知明,社学,秋学期,火３時限,教室未定,現代イタリアの政治制度について考察する。 イタリア共和制の成立過程を概観し......,1800000303012026180000030318
2026,POLX271L,現代政治制度論（ドイツ）,高見　仁,社学,秋学期,土３時限,教室未定,本授業では第二次世界大戦後の西ドイツ、統一ドイツの政治制度を題材とします......,1800000304012026180000030418
2026,POLX311L,現代政治分析（イギリス）,秋本　富雄,社学,秋学期,木４時限,教室未定,イギリスは、２大政党を軸に政権交替が繰り返される２党制の国とされてきた。......,1800000309012026180000030918
2026,POLX311L,現代政治分析（スペイン）,野上　和裕,社学,秋学期,木１時限,教室未定,この授業は、比較政治学の一つである地域研究ですが、スペインに特有の政治的問......,1800000310012026180000031018
2026,GSSA111L,情報化社会とワーキングスタイル,須子　統太,社学,秋学期,火３時限,教室未定,インターネットが一般に普及し、急速に情報化が進んだこの20年余りの間に、人々......,1800000373012026180000037318
2026,INFM301L,マルチメディア,浮田　善文,社学,秋学期,木５時限,教室未定,コミュニケーションに利用されるメディアとして文字・文書、画像、音・音声・音......,1800000377012026180000037718
2026,POLX311L,現代政治分析（アメリカ合衆国）,西山　隆行,社学,秋学期,金４時限,教室未定,アメリカの内政と外交について講義する。 アメリカ政治には、短期的な変動が激......,1800000382012026180000038218
2026,MGTX311L,生産システム論,中島　健一,社学,秋学期,水２時限,教室未定,モノづくりの企業経営に焦点をあて、生産マネジメントの仕組みとその活動につい......,1800000412012026180000041218
2026,POLX301L,社会科学総合研究（女性と政治）,安中　進／秋本　富雄／小野寺　研太,社学,秋学期,月４時限,教室未定,講義は安中、秋本、小野寺による対面講義とする。 いま早稲田大学で学んで......,1800000509012026180000050918
2026,ARSB381L,中国研究 ２,劉　傑,社学,秋学期,火２時限,教室未定,太平洋戦争終了後の中国大陸では国民党と共産党による内戦が勃発し、その結果......,1800000515012026180000051518
2026,ARSV381L,太平洋地域海洋国家研究,奥迫　元,社学,秋学期,水２時限,教室未定,極小国より構成される太平洋島嶼地域は、これまで国際政治においてほとんど無視......,1800000587012026180000058718
2026,POLX341L,比較議会論,秋本　富雄,社学,秋学期,木５時限,教室未定,この講義の目的は、安定した民主政治を享受している西欧、北米、日本などの諸......,1800000668012026180000066818
2026,POLX211L,政治学原論 ２,池谷　知明,社学,秋学期,水３時限,教室未定,デモクラシーとその変容をテーマに、現代政治のさまざまな課題、市民と政治との......,1800000694012026180000069418
2026,CMMC301L GSSC301L,金融データ解析 ２,葛山　康典,社学,秋学期,火４時限,教室未定,デリバティブやストックオプションなどという言葉を新聞で目にすることが多く......,1800000719012026180000071918
2026,GENX301L,職業指導 ２,小島　貴子,社学,秋学期,金３時限,教室未定,「職業指導Ａ」で学習し、そこで究明されたさまざまな問題点について、さら......,1800000733012026180000073318
2026,PHLT101L,社会科学の基礎 Ｂ,吉田　敬,社学,秋学期,火２時限,教室未定,社会科学を学ぶには、自然科学も含めた科学一般に共通する科学的思考を身につけ......,1800000739022026180000073918
2026,SOCX121L,社会調査の基礎 Ｂ,中野　佑一,社学,秋学期,月２時限,教室未定,本授業は、社会調査を学ぶための初学者向け講義である。そもそも社会調査は誰が......,1800000740022026180000074018
2026,ECNT111L,ゲーム理論の基礎 Ｂ,戸田　学,社学,秋学期,木１時限,教室未定,ゲーム理論とは相互に影響を及ぼし合うような依存関係にある意思決定主体が独立......,1800000743022026180000074318
2026,POLX101L,政治分析の基礎 Ｂ,遠藤　晶久,社学,秋学期,無フルOD,教室未定,【授業形式】 ・この授業はオンデマンド形式で実施する。授業動画自体は春学期......,1800000744022026180000074418
2026,INTA101L,国際関係論入門 Ｂ,奥迫　元／利根川　佳子／宮下　大夢,社学,秋学期,無フルOD,教室未定,(概要) 本科目は、今後、国際社会・国際関係について学ぼうとする学生に、国......,1800000749022026180000074918
2026,ECNE101L,経済学入門 ２〔マクロ経済学〕 Ａ,及川　浩希,社学,秋学期,無フルOD,教室未定,本講義では、入門レベルのマクロ経済学を学習する。国や地域の経済状態を測る方......,1800000752012026180000075218
2026,ECNE101L,経済学入門 ２〔マクロ経済学〕 Ｂ,及川　浩希,社学,秋学期,無フルOD,教室未定,本講義では、入門レベルのマクロ経済学を学習する。国や地域の経済状態を測る方......,1800000752022026180000075218
2026,ECNA311L,社会科学総合研究（ロシア東欧現代経済） 2,弦間　正彦／池本　修一,社学,秋学期,無フルOD,教室未定,全回オンデマンド配信に基づく授業となります。ただし、中東欧の研究者をゲスト......,1800000760012026180000076018
2026,SOCX211L,社会学の思想と理論,吉田　耕平,社学,秋学期,火２時限,教室未定,なぜ現代の社会学は統計やデータを重視するのか？なぜアメリカ（米国）社会学......,1800000789012026180000078918
2026,SOCX311L,現代社会学の方法,周藤　真也,社学,秋学期,金４時限,教室未定,現代社会学における様々な議論の前提にある「言語論的転回（linguistic turn......,1800000790012026180000079018
2026,SOCX121L,社会調査法 １Ｂ,小山　泰代,社学,秋学期,火５時限,教室未定,社会調査は、社会で暮らす人々の行動や考え方の実態をとらえ、集めたデータを科......,1800000792022026180000079218
2026,GSSA101L SOCX181L,社会統計の読み方,釜野　さおり,社学,秋学期,火１時限,教室未定,社会調査のデータや官庁統計に基づいた資料の読み方と基本的なデータの分析方法......,1800000793012026180000079318
2026,GSSH201P,ソーシャル・リサーチ（まちづくり） II,早田　宰／周藤　真也,社学,夏秋期,金２時限,教室未定,※履修者は、「ソーシャル・リサーチ（まちづくり）I（春学期）・Ⅱ（夏季・秋学......,1800000799012026180000079918
2026,PHLE101L,東洋哲学 ２,王　前,社学,秋学期,火４時限,教室未定,秋学期の講義では、近現代の西洋と東洋の思想家がどのように東洋哲学を見てき......,1800000803012026180000080318
2026,PHLE131L,中国哲学 ２,遠藤　純一郎,社学,秋学期,金５時限,教室未定,インドに起源を持つ仏教は、哲学的な議論を中国に持ち込み、これが従来の中国思......,1800000805012026180000080518
2026,PHLM181L,倫理学 ２,関口　浩,社学,秋学期,月５時限,教室未定,キルケゴールやドストエフスキーなど現代の思想家たちによる大衆社会論を序説と......,1800000807012026180000080718
2026,PSYX101L,心理学概論,阿部　哲理,社学,秋学期,火３時限,教室未定,近代心理学は、目に見えない心を科学の対象とすることを目指し、様々な領域に分......,1800000808012026180000080818
2026,HISE101L,外国史概論 ２,日尾野　裕一,社学,秋学期,金２時限,教室未定,この授業では、歴史とは何か、歴史を記すとは何か、歴史の記し方はどのように変......,1800000815012026180000081518
2026,HISA101L HISA121L HISA131L,歴史学（日本史） ２,黒田　智,社学,秋学期,火３時限,教室未定,日本史上で起こった政治・経済・社会・文化の諸相をピックアップし、日本文化......,1800000817012026180000081718
2026,HISA141L,歴史学（日中関係史） ２,劉　傑,社学,秋学期,火３時限,教室未定,昭和戦前期の日中関係は敵対関係を基調として展開した。戦後、両国の努力によ......,1800000819012026180000081918
2026,HISB111L,歴史学（アジア史） ２,松田　春香,社学,秋学期,木２時限,教室未定,「韓流ブーム」により、日本においても韓国への関心は高まりを見せています。し......,1800000821012026180000082118
2026,HISE181L,歴史学（ヨーロッパ史） ２,古川　誠之,社学,秋学期,無フルOD,教室未定,人間は文化を作り出すことによって世界が秩序あるものだということを認識し、安......,1800000823012026180000082318
2026,GEOX101L,地誌,竹林　和彦,社学,秋学期,火４時限,教室未定,本授業では、現代世界を構成する地域は、さまざまな地理的特徴によって区分する......,1800000826012026180000082618
2026,CMFC111L,漢字文化圏論 ２,笹原　宏之,社学,秋学期,木２時限,教室未定,日本とベトナムの「漢字文化」とその根底を理解するべく講義を進める。中国大......,1800000836012026180000083618
2026,LITJ171L,言語表現論 ２,笹原　宏之,社学,秋学期,月３時限,教室未定,私たちは、普段の生活の中で、多くの文章を目にするとともに、たくさんのこと......,1800000840012026180000084018
2026,MATX101L,数学 ２,高橋　一嘉,社学,秋学期,水３時限,教室未定,今日では、コンピュータの普及等により社会科学系の学生にとっても数学的な素養......,1800000846012026180000084618
2026,GEOX101L,自然地理学 II,小森　次郎,社学,秋学期,水３時限,教室未定,地理学の基本は、自然の営みを空間的に理解し、その上に人がどのように関わって......,1800000853012026180000085318
2026,POLX261L,外国政治史 ２,小山　吉亮,社学,秋学期,火１時限,教室未定,議会、政党、選挙、福祉国家、独裁…。ヨーロッパは近代政治が生まれた場所で......,1800000861012026180000086118
2026,POLX221L,政治学史 １,村木　数鷹,社学,秋学期,金４時限,教室未定,なぜ、大学で政治学が教えられているのであろうか。あるいは言い方を少し換える......,1800000863012026180000086318
2026,POLX221L,政治学史 ２,村木　数鷹,社学,秋学期,金５時限,教室未定,なぜ、大学で政治学が教えられているのであろうか。あるいは言い方を少し換える......,1800000864012026180000086418
2026,POLX311L,政治過程論 ２,安中　進,社学,秋学期,火３時限,教室未定,政治過程論は、政治装置や制度が「行うと考えられていること」ではなく、「実際......,1800000868012026180000086818
2026,INTB161L,国際関係論,奥迫　元,社学,秋学期,火２時限,教室未定,国際関係論は、その研究対象である国際関係がグローバリゼーションのいっそうの......,1800000869012026180000086918
2026,POLX251L,行政学 II,稲生　信男,社学,秋学期,金３時限,教室未定,行政学とは何か､実は定義することは難しい｡あえていえば､行政部門において､政策......,1800000871012026180000087118
2026,INTB321L,平和構築論,永井　陽右,社学,冬クォーター,01:金４時限 02:金５時限,教室未定,平和構築の概念は、戦後平和研究が出発した当初から唱えられていた。しかし、一......,1800000873012026180000087318
2026,POLX311L,政治行動論 II,浅野　正彦,社学,秋学期,無フルOD,教室未定,「2023年8月28日「成績評価方法」更新」 政治行動論は政治的な「アクター」（行......,1800000875012026180000087518
2026,LAWA111L,憲法 I Ｂ,阪口　正二郎,社学,秋学期,火２時限,教室未定,みなさんは、日本に憲法という法があることや、憲法が表現の自由や生存権など......,1800000876022026180000087618
2026,LAWG311L,環境法 ２〔自然保護法〕,黒川　哲志,社学,秋学期,金４時限,教室未定,Sustainable Developmentの実現に向けての法制度とその運用について検討する。 ......,1800000883012026180000088318
2026,LAWF211L,労働市場法,滝原　啓允,社学,秋学期,金５時限,教室未定,労働市場法は、労働者の職の確保を容易にするために、求人者と求職者の関係を......,1800000887012026180000088718
2026,LAWB211L,民法 １〔総則〕,大木　満,社学,秋学期,金１時限,教室未定,民法１の講義では、市民の日常生活に関する最も一般的な法律である民法の中で、......,1800000891012026180000089118
2026,LAWB211L,民法 ２〔物権〕,大木　満,社学,秋学期,金２時限,教室未定,民法典は、「総則」「物権」「債権」「親族」「相続」の５編で構成されていま......,1800000892012026180000089218
2026,LAWB211L,民法 ３〔債権総論〕,吉田　和夫,社学,秋学期,無フルOD,教室未定,民法は、「総則」「物権」「債権」「親族」「相続」の５編で構成されています......,1800000893012026180000089318
2026,LAWB211L,民法 ６〔家族と法 ２〕,ローツ　マイア,社学,秋学期,火３時限,教室未定,相続は、人生の中で必ず経験する出来事のひとつである。本授業では、相続の仕組......,1800000896012026180000089618
2026,LAWB121L,会社法 ２〔会社のファイナンス〕,林　孝宗,社学,秋学期,水４時限,教室未定,本講義では、経済社会を支える基本的仕組みである会社法を講義します。我が国に......,1800000905012026180000090518
2026,LAWB381L,金融商品取引法 １〔総論・流通市場規制等〕,坂東　洋行,社学,秋学期,月５時限,教室未定,企業の資金調達は、金融機関からの借入の他、株式や社債の発行を通じて証券市......,1800000906012026180000090618
2026,LAWC111L,刑法総論 I〔犯罪論の基本構造〕,仲道　祐樹,社学,秋学期,月４時限,教室未定,【授業の狙い】　　刑法は、犯罪と刑罰に関する法です。新聞やテレビの報道で、......,1800000911012026180000091118
2026,LAWE101L,国際法 1,新谷　里美,社学,秋学期,火３時限,教室未定,この授業では、国際法の基本的な論点や考え方を解説する。 また、最近話題とな......,1800000917012026180000091718
2026,LAWE311L,国際法 2,新谷　里美,社学,秋学期,火２時限,教室未定,国際裁判例や国際時事問題を用いて国際法の基礎理論を解説する。,1800000918012026180000091818
2026,LAWE101L,国際経済法 1,福永　有夏,社学,秋学期,水３時限,教室未定,この授業では、WTO(世界貿易機関)協定をはじめとする貿易・投資に関する国際法......,1800000919012026180000091918
2026,LAWE311L,国際経済法 2,福永　有夏,社学,秋学期,水２時限,教室未定,貿易紛争や投資紛争の法に基づく紛争解決について学ぶ。 WTO(世界貿易機関)紛争......,1800000920012026180000092018
2026,ECNT111L,経済数学 ２,戸田　学,社学,秋学期,火３時限,教室未定,この講義では経済学に登場する標準的な非線型計画法についてその基礎知識から始......,1800000924012026180000092418
2026,ECNT211L,ミクロ経済学 II,戸田　学,社学,秋学期,火１時限,教室未定,ミクロ経済学はマクロ経済学と並んで経済分野全体の基礎となるものである．経済......,1800000928012026180000092818
2026,ECNA261L,食料と農業の経済学 ２ 〔日本の経験と教訓〕,弦間　正彦,社学,秋学期,無フルOD,教室未定,「この科目は全回オンデマンド配信により授業を実施します」資料に基づき課題に......,1800000938012026180000093818
2026,ECNT211L,経済動学 II,篠塚　友一,社学,秋学期,無フルOD,教室未定,現代のマクロ経済学の代表的なモデルについて学び、それらのモデルの年金問題、......,1800000952012026180000095218
2026,CMMM301L,流通論 II,野口　智雄,社学,秋学期,無フルOD,教室未定,本年度の講義は、時空間を問わず反復視聴ができ、教育効果も高いオンデマンド......,1800000963012026180000096318
2026,CMMI201L,国際貿易論 ２,橋　徹,社学,秋学期,無フルOD,教室未定,国際貿易は、参加する国の消費、産業構造、技術、雇用、所得分配、経済成長、環......,1800000965012026180000096518
2026,LANE201L,ビジネス・イングリッシュ　II,藤尾　美佐,社学,秋学期,火３時限,教室未定,"In order to be a globally-minded leader, it is essential to acquire not o......",1800000967012026180000096718
2026,CMMR311L,リスクマネジメントと保険 II,湯山　智教,社学,秋学期,月２時限,教室未定,我々は、病気・怪我・失業・自然災害・株価下落などの経済的損失など、身の回り......,1800000971012026180000097118
2026,MANX211L,産業心理学 II,重森　雅嘉,社学,秋学期,木２時限,教室未定,産業安全を中心に組織や集団における行動の基礎原理および実社会における人間関......,1800000973012026180000097318
2026,GSSC201L,産業社会学 II,池田　心豪,社学,秋学期,金１時限,教室未定,産業社会学Ⅰの授業内容を踏まえて、応用的な知識を身につけることを目的とする......,1800000975012026180000097518
2026,MANX321L,人的資源管理論 II,上原　衞,社学,秋学期,金４時限,教室未定,近年、組織の経営資源を事業や市場に最適配分した形での経営戦略の重要性がクロ......,1800000983012026180000098318
2026,LANE201F,Examining Global Issues 2〔Major Themes and Events in Modern Japanese History〕,ローズ　ミーガン　キャサリン,社学,秋学期,月３時限,教室未定,Examining Global Issues II builds upon the foundation of Examining Global ......,1800001013012026180000101318
2026,CMFC281S,Exploring Cultures through Film 2,花光　里香,社学,秋学期,金２時限,教室未定,異文化コミュニケーションについて、映画を通して英語で学ぶ授業である。私たち......,1800001015012026180000101518
2026,LANE201F,英語１-１（秋学期） Ｙ,根橋　玲子,社学,秋学期,月２時限,教室未定,本コースでは、身近なテーマに関する英文を題材に、4技能をバランスよく向上さ......,1800001017252026180000101718
2026,LANE201F,英語１-１（秋学期） Ｚ,長田　宣子,社学,秋学期,月３時限,教室未定,この授業では、アメリカ・イギリスを中心とした世界各国で発信されたニュースを......,1800001017262026180000101718
2026,LANE201F,英語１-２（秋学期） Ａ,長田　哲男,社学,秋学期,火２時限,教室未定,本授業では，各受講生は自分が関心のある学問テーマを設定し、そのテーマに関す......,1800001019012026180000101918
2026,LANE201F,英語１-２（秋学期） Ｂ,根橋　玲子,社学,秋学期,月３時限,教室未定,本コースでは、身近なテーマに関する英文を題材に、4技能、とりわけスピーキン......,1800001019022026180000101918
2026,LANE301F,英語２-１（秋学期）Ｙ,長田　宣子,社学,秋学期,月２時限,教室未定,この授業では、アメリカ・イギリスを中心とした世界各国で発信されたニュースを......,1800001021252026180000102118
2026,LANE301F,英語２-１（秋学期）Ｚ,池田　史彦,社学,秋学期,木３時限,教室未定,テッドトークのテキストを使って、英会話、読解、英作文、日本語の総合力を高め......,1800001021262026180000102118
2026,LANE201F,英語２-２（コミュニケーション）（秋学期）／リスニング Ｅ,市賀　弘之,社学,秋学期,金３時限,教室未定,春学期からの引き続きで、英語の総合運用能力を高めるために、本講義では主にリ......,1800001023052026180000102318
2026,LANE201F,英語２-２（コミュニケーション）（秋学期）／リスニング Ｆ,市賀　弘之,社学,秋学期,金４時限,教室未定,春学期からの引き続きで、英語の総合運用能力を高めるために、本講義では主にリ......,1800001023062026180000102318
2026,LANE201F,英語２-２（コミュニケーション）（秋学期）／会話 Ｐ,カレンダー　ポール　カイル,社学,秋学期,土３時限,教室未定,"Building on the first semester, this intermediate course in oral English c......",1800001023162026180000102318
2026,LANE201F,英語２-２（コミュニケーション）（秋学期）／会話 Ｑ,カレンダー　ポール　カイル,社学,秋学期,土４時限,教室未定,"Building on the first semester, this intermediate course in oral English c......",1800001023172026180000102318
2026,LANG101F,ドイツ語１初級 Ａ,中野　愛理,社学,秋学期,月２時限,教室未定,引き続き、ドイツ語文法を中心とした講義と演習を行います。学習した文法事項を......,1800001025012026180000102518
2026,LANG101F,ドイツ語１初級 Ｂ,中野　愛理,社学,秋学期,月３時限,教室未定,引き続き、ドイツ語文法を中心とした講義と演習を行います。学習した文法事項を......,1800001025022026180000102518
2026,LANG101F,ドイツ語１初級 Ｃ,高屋敷　直広,社学,秋学期,水２時限,教室未定,引き続き、ドイツ語文法を中心とした講義と演習を行います。また、学習した文法......,1800001025032026180000102518
2026,LANG101F,ドイツ語１初級 Ｄ,高屋敷　直広,社学,秋学期,水３時限,教室未定,引き続き、ドイツ語文法を中心とした講義と演習を行います。また、学習した文法......,1800001025042026180000102518
2026,LANG101F,ドイツ語２初級 Ａ,秋元　康隆,社学,秋学期,金２時限,教室未定,引き続き、会話表現を中心に学んでいきます。本学期になると、文も複雑になって......,1800001027012026180000102718
2026,LANG101F,ドイツ語２初級 Ｂ,秋元　康隆,社学,秋学期,金３時限,教室未定,引き続き、会話表現を中心に学んでいきます。本学期になると、文も複雑になって......,1800001027022026180000102718
2026,LANG101F,ドイツ語２初級 Ｃ,山中　健義,社学,秋学期,月２時限,教室未定,春学期に引き続き、日常生活の様々な場面におけるドイツ語の基礎的な会話表現を......,1800001027032026180000102718
2026,LANG101F,ドイツ語２初級 Ｄ,山中　健義,社学,秋学期,月３時限,教室未定,春学期に引き続き、日常生活の様々な場面におけるドイツ語の基礎的な会話表現を......,1800001027042026180000102718
2026,LANF101F,フランス語１初級 Ａ,大前　元伸,社学,秋学期,月２時限,教室未定,この授業と春学期に開講する「フランス語１基礎Ａ」の授業と合わせて、フランス......,1800001029012026180000102918
2026,LANF101F,フランス語１初級 Ｂ,梶谷　彩子,社学,秋学期,水２時限,教室未定,☆春学期「フランス語１基礎B」からの続きの授業です。教科書は引き続き『ル・フ......,1800001029022026180000102918
2026,LANF101F,フランス語１初級 Ｃ,柴田　惠美,社学,秋学期,水２時限,教室未定,この授業は、フランス語1基礎に続き、初級文法の知識をしっかりと身につけ、フ......,1800001029032026180000102918
2026,LANF101F,フランス語１初級 Ｄ,綾部　素幸,社学,秋学期,水１時限,教室未定,春学期の「基礎」に引き続き発音の基礎及び初級文法を一通り学習します。フラン......,1800001029042026180000102918
2026,LANF101F,フランス語１初級 Ｅ,梶谷　彩子,社学,秋学期,水３時限,教室未定,☆春学期「フランス語１基礎E」からの続きの授業です。教科書は引き続き『ル・フ......,1800001029052026180000102918
2026,LANF101F,フランス語２初級 Ａ,柴田　惠美,社学,秋学期,水１時限,教室未定,フランス語は特にヨーロッパの上流階級において外交用語としての役割を果たして......,1800001031012026180000103118
2026,LANF101F,フランス語２初級 Ｂ,大前　元伸,社学,秋学期,月３時限,教室未定,春学期に引き続き、日常会話で用いられる基本的なフランス語の表現を学習し、実......,1800001031022026180000103118
2026,LANF101F,フランス語２初級 Ｃ,柴田　惠美,社学,秋学期,金３時限,教室未定,フランス語は特にヨーロッパの上流階級において外交用語としての役割を果たして......,1800001031032026180000103118
2026,LANF101F,フランス語２初級 Ｄ,マルティネル　ルイ　ソロ,社学,秋学期,月３時限,教室未定,"Polarfle est une méthode de Français Langue Étrangère en ligne, facile, mo......",1800001031042026180000103118
2026,LANF101F,フランス語２初級 Ｅ,赤羽　悠,社学,秋学期,金２時限,教室未定,春学期の「フランス語2基礎」に引き続き、フランス語のコミュニケーション技能......,1800001031052026180000103118
2026,LANC101F,中国語１初級 Ａ,花井　みわ,社学,秋学期,水３時限,教室未定,ほとんどの受講生にとって、中国語を学習する目的は中国語を使ったコミュニケー......,1800001033012026180000103318
